likeCount,commentCount,dislikeCount,viewCount,likes/view,dislikes/view,comments/views,likes/dislikes,views/subscribers
381,33,16,18053,0.021104526,0.000886279,0.001827951,-2,177.4553571
3493,123,54,333832,0.010463347,0.000161758,0.000368449,64.68518519,186.0675939
13568,437,659,1654331,0.008201503,0.000398348,0.000264155,20.58877086,6.478551771
22117,1538,396,3872692,0.005711014,0.000102254,0.00039714,55.8510101,19.30785338
359,10,5,17316,0.020732271,0.00028875,0.000577501,-2,18.43689175
1430,54,48,158233,0.009037306,0.00030335,0.000341269,29.79166667,400.4186747
715,28,28,41221,0.017345528,0.000679265,0.000679265,-2,138.3347
1084,74,20,70503,0.015375232,0.000283676,0.001049601,54.2,55.6328125
623,107,13,25522,0.024410313,0.000509364,0.004192461,-2,133.5648128
545,30,16,37078,0.014698743,0.000431523,0.000809105,-2,19.41633952
605,46,8,43500,0.013908046,0.000183908,0.001057471,-2,33.07195243
551,44,33,44265,0.012447758,0.00074551,0.000994013,-2,68.82589286
418,24,17,30591,0.01366415,0.000555719,0.000784544,-2,306.769697
326,42,19,15277,0.021339268,0.0012437,0.002749231,-2,231.4558824
725,34,19,48142,0.015059615,0.000394666,0.000706244,-2,256.3903846
1104,49,18,70963,0.015557403,0.000253653,0.000690501,61.33333333,256.3903846
2055,97,40,132209,0.015543571,0.000302551,0.000733687,51.375,205.8306306
508,23,15,26573,0.019117149,0.000564483,0.00086554,-2,83.89110708
455,17,21,28793,0.015802452,0.000729344,0.000590421,-2,74.81125227
169,4,4,7880,0.021446701,0.000507614,0.000507614,-2,169.4565217
534,23,16,36690,0.014554374,0.000436086,0.000626874,-2,0.655546881
493,16,27,34639,0.014232512,0.000779468,0.000461907,-2,1.811484137
69,7,3,3293,0.020953538,0.000911023,0.002125721,-2,1.084321102
223,30,4,11216,0.019882311,0.000356633,0.00267475,-2,1.255163603
155,19,4,9527,0.01626955,0.000419859,0.001994332,-2,2.722549507
836,45,52,78516,0.010647511,0.000662285,0.000573132,-2,4.791539499
101,10,4,7453,0.01355159,0.000536697,0.001341742,-2,4.17758535
20052,1975,637,3697998,0.005422393,0.000172255,0.000534073,31.47880691,2.907516502
-1,8,-1,19229,-1,-1,0.000416038,-1,13.88798569
994,71,26,39499,0.025165194,0.000658245,0.001797514,-2,6.027962933
101111,7156,3269,8193150,0.012340919,0.000398992,0.000873413,30.9302539,143.8094564
1059,52,23,56551,0.018726459,0.000406713,0.000919524,46.04347826,11.10956965
563,96,22,25279,0.022271451,0.000870288,0.003797619,-2,11.10956965
760,25,31,45616,0.016660821,0.000679586,0.000548053,-2,196.5877863
99,1,26,29256,0.003383921,0.000888707,3.42E-05,-2,17.4047619
654,74,32,29412,0.022235822,0.001087991,0.00251598,-2,2.701533637
205,13,5,14498,0.014139881,0.000344875,0.000896675,-2,80.11168691
305,15,7,16459,0.018530895,0.000425299,0.000911355,-2,1.772491327
130,21,4,7030,0.018492176,0.00056899,0.002987198,-2,89.09677419
421,11,14,33053,0.012737119,0.000423562,0.000332799,-2,0.608884597
91,0,1,20026,0.004544093,4.99E-05,0,-2,18.96254974
7,2,0,31,0.225806452,0,0.064516129,-2,4.740369166
1,0,0,64,0.015625,0,0,-2,0.630942554
544,28,28,35466,0.015338634,0.000789489,0.000789489,-2,159.6518412
390,71,5,17684,0.022053834,0.000282741,0.004014929,-2,302.271332
680,116,12,25885,0.026270041,0.000463589,0.00448136,-2,262.4096186
5142,157,105,249348,0.020621782,0.000421098,0.000629642,48.97142857,145.2846154
248,8,5,18221,0.013610669,0.000274409,0.000439054,-2,42.5849359
24,2,0,1404,0.017094017,0,0.001424501,-2,216.4887218
34,-1,7,8996,0.003779458,0.000778124,-1,-2,0.135740371
252,21,8,14687,0.017158031,0.000544699,0.001429836,-2,2.413656996
1697,32,110,322987,0.005254081,0.000340571,9.91E-05,15.42727273,161.1116279
53,4,2,3823,0.013863458,0.000523149,0.001046299,-2,0.578023521
184,6,10,18558,0.009914862,0.000538851,0.000323311,-2,70.15808171
168,6,8,10384,0.016178737,0.000770416,0.000577812,-2,193.0252556
2,0,0,58,0.034482759,0,0,-2,0.928487475
1,1,0,31,0.032258065,0,0.032258065,-2,1.080290898
2578,73,101,196560,0.013115588,0.000513838,0.000371388,25.52475248,0.258209065
