videoId,likes/dislikes
p824hbSmvCI,15.721393034825871
vpG7gqSWjH8,111.66666666666667
C-eWsbt2kxs,27.258064516129032
11ypZudY-9A,39.26315789473684
t-tWO5jBP5A,35.10697674418605
N-uBWfutf44,86.14207650273224
ubmo4e4PNrk,22.853801169590643
q3CzyDGI-Ak,22.60330578512397
7-wHjNAjMbY,37.068627450980394
m7UKRFnexJE,10.61936936936937
Q98fFXRlgwU,12.674242424242424
j75X5O9pv_A,37.2741116751269
ZYriJKQqSDk,10.647382920110193
l4P6TKgijFo,21.47107438016529
mXTPVcx10w0,10.108433734939759
lKAnZtF610w,-1
pWGNOsFuFkU,4.731958762886598
dcfh-1f465Y,6.482233502538071
gX-Netrek5g,17.74390243902439
Hnjayaozb9M,74.28260869565217
pnKUyrkMsf8,107.10714285714286
1Zo4xpI4UmE,-2
1wZJpVRe2rY,79.94736842105263
Q3DyO8nlS3w,15.44927536231884
tH3QxFG9DaA,6.966480446927374
bGi_FhuJDq0,-2
8Wfll2uooJA,25.735099337748345
Y-eCVRvYnxw,-2
EGfmkl2hCvY,-2
SxK6pn-igTU,-1
8lP_PZai5h0,41.10569105691057
VzFVPsP4Hr4,13.459677419354838
-6UeKeyho18,31.01923076923077
6C15YvjFTR0,35.76923076923077
sAT-bwaWU5I,12.201680672268907
fvCTNm9Lw20,35.40340909090909
eyuGcQVK5OY,24.912790697674417
pwfP0--pfBY,65.02439024390245
cn1PZ2PwD4I,27.951327433628318
ZrC4hdKjuVY,17.492795389048993
A3LVGtlJdj4,9.506550218340612
OgV1GGyRdb4,27.110599078341014
m4Dwowg1ngQ,2.19
Kyu3NdRwxrk,35.23157894736842
ci-wNbFZrow,14.371794871794872
-xOaI_PprGM,23.436781609195403
_44_RujM8JY,69.05882352941177
TiUW2VS3nVc,18.991803278688526
9Bvj7W8vrRo,-2
o2f5Y4JfaNU,22.710227272727273
Ysa5y6KcLd0,22.37162162162162
tWe2R9KkXcY,-2
j0-I0Jq1i4U,-2
EwxswOsLbAA,-2
