videoId,likeCount,commentCount,dislikeCount,viewCount,likes/view,dislikes/view,comments/views,likes/dislikes,views/subscribers
WgF_j1FPxhk,6874,511,85,307402,0.022361598167871387,0.0002765108880228496,0.0016623183974079545,80.87058823529412,12.808383233532934
XxOoPEhy9T8,3511,931,617,1428359,0.002458065514341983,0.0004319642330814592,0.0006517969222023315,5.690437601296597,1.2675898203592815
vnRAdsqdtOY,5033,308,694,1614793,0.0031168081605506093,0.0004297764481267878,0.000190736521647047,7.252161383285302,0.16938126924222863
v8XyRNHquqM,3692,402,454,670020,0.005510283275126116,0.0006775917136801887,0.0005999820900868631,8.13215859030837,0.2201807528056411
INQ14zXQGoU,14042,651,995,3081361,0.004557077213607883,0.00032290925990171226,0.0002112702795939846,14.112562814070351,285.4564516129032
0QRk2QAiL4o,3428,78,171,971461,0.003528705732911563,0.0001760235356849117,8.029143732995972e-05,20.046783625730995,265.28387096774196
_VX2gbN8pik,2131,166,58,264023,0.008071266518447256,0.00021967783109804828,0.0006287331027978623,36.741379310344826,1.1586613699289756
LboJ1RJL9LU,15719,367,1565,3234510,0.004859777833427629,0.0004838445390491914,0.00011346386315083274,10.04408945686901,2.539424581678103
gxv8YyC_56o,219,8,9,37283,0.005873990826918435,0.00024139688329801788,0.00021457500737601587,-2,3.1497942386831275
Q0RcUEwToqg,185,32,15,76577,0.0024158689946067358,0.00019588126983297857,0.0004178800423103543,-2,0.2314062029509184
RODHrt1agaA,2516,62,82,338536,0.007432001323345228,0.00024221943899614811,0.0001831415270458681,30.682926829268293,5.090228465575795
bBuaPpPqjQM,156,37,33,15173,0.010281420945099849,0.0021749159691557374,0.0024385421472352202,-2,18.795307193578264
yzHug-15UVw,305,21,19,77895,0.003915527312407728,0.00024391809487130111,0.00026959368380512227,-2,1.0250077184316146
WlSpTBUDXoI,4908,262,130,973467,0.0050417733729032415,0.00013354330449825213,0.00026914112137340046,37.753846153846155,0.4610198061525495
u18_-87Pb6U,76620,10347,2591,24250728,0.00315949277893843,0.00010684215335721055,0.00042666760354575747,29.571593979158624,0.6576766399775249
Du1hF65R0bE,20,12,2,1546,0.0129366106080207,0.00129366106080207,0.007761966364812419,-2,3.3493435266744225
wtHPv3aCuBU,263,44,14,88494,0.0029719529007616336,0.00015820281601012498,0.0004972088503175356,-2,0.039632718073643776
4-n4f7YLWOg,4814,707,73,82612,0.058272405945867425,0.0008836488645717329,0.0085580787294824,65.94520547945206,0.012836128548674225
ADskX5EX0ek,101,59,40,4561,0.022144266608199955,0.008770006577504933,0.012935759701819776,-2,0.0843249320715825
8egNGMhxDS0,2846,85,311,924671,0.0030778514736592797,0.00033633584269432046,9.192458723156669e-05,9.15112540192926,944.9269581056466
WZhTo9tyv30,3373,49,831,1559740,0.0021625399104979034,0.0005327811045430648,3.1415492325644015e-05,4.058965102286402,0.4927647096321795
iZFbIYKxSPs,604,9,45,130105,0.0046424042119826295,0.0003458744859920833,6.917489719841666e-05,-2,0.859755548214661
0TzUvAWjdWA,92,11,10,77522,0.001186759887515802,0.00012899563994736978,0.00014189520394210676,-2,0.5611579927325145
LEIxpcYukqc,23072,1971,551,5740194,0.004019376348604246,9.598978710475639e-05,0.00034336818581392895,41.87295825771325,1.4279407790023724
ujtrFNZYbTA,2581,516,130,488314,0.005285533488697846,0.0002662221439483611,0.0010566971252104179,19.853846153846153,0.007820136852394917
9valUoipq20,570,2,16,80889,0.0070466936171790975,0.00019780192609625537,2.472524076203192e-05,-2,8.991332764990053
RgN6RQw1s40,14177,241,627,2954905,0.004797785377194868,0.00021218956277782195,8.155930562911498e-05,22.61084529505582,36.85578289286729
I3swJao9AV0,26005,726,986,3843994,0.006765099008999494,0.0002565040424100558,0.0001888660596244427,26.374239350912777,95.1680597895565
JK-uwtnIfFU,7951,3068,718,1243929,0.006391843907489897,0.0005772033612850894,0.0024663787081095462,11.073816155988858,175.37829691032405
2O7K-8G2nwU,51727,6380,2633,21792522,0.0023736123795125687,0.0001208212615318227,0.00029276097553096426,19.645651348271933,0.20361970828886516
1ibZW31-ARs,5804,483,704,2025125,0.0028659959261773966,0.0003476328621690019,0.00023850379606197149,8.244318181818182,0.5334635068664902
epEACtFykm4,337,13,3,13356,0.025232105420784665,0.00022461814914645105,0.0009733453129679545,-2,1.520641920862428
Og8yssCUciI,7123,411,152,43999,0.16189004295552173,0.003454623968726562,0.00934112138912248,46.86184210526316,5.567928457674874
D2hkM6DdX6U,510,129,44,115997,0.004396665431002526,0.00037932015483159047,0.0011120977266653447,-2,6.625627832904569
fNDobAAgDOU,12791,1128,1634,3492456,0.00366246561159253,0.0004678655937254471,0.000322981878655021,7.828029375764994,4.805953693495039
H1JkUvZMznU,786,65,106,289169,0.0027181336865293305,0.0003665676472927596,0.00022478204786820165,-2,175.81666666666666
BSCSQV3wXHU,699,185,17,142435,0.004907501667427248,0.00011935268719064837,0.0012988380664864674,-2,0.3040137510736282
-TbR7gybx1U,1509,36,184,555577,0.002716095158726873,0.0003311872161734557,6.479749881654568e-05,8.201086956521738,0.0026441467299118224
pW1-891neM0,100,3,8,20051,0.004987282429804,0.00039898259438431996,0.00014961847289411998,-2,0.1708169501620693
EJiaVRz6-Rk,177,8,21,32702,0.005412512996147025,0.0006421625588649012,0.00024463335575805763,-2,0.13923069950926018
KCc1PfLj1gg,301,52,3,13483,0.022324408514425572,0.0002225024104427798,0.00385670844767485,-2,0.08775535087681438
lxBRoZ-2Tfg,483,114,14,106427,0.00453832204233888,0.00013154556644460523,0.0010711567553346425,-2,0.1639656913734241
Hg_hacR6EcQ,53,1,5,12287,0.0043135020753642065,0.000406934158053227,8.13868316106454e-05,-2,0.5251968138598392
0Dh_r6oYeAk,37,0,2,4735,0.00781414994720169,0.00042238648363252375,0.0,-2,11.757320094436125
pPPtBzIAunM,37,12,9,6739,0.0054904288470099425,0.001335509719542959,0.0017806796260572786,-2,0.4238668096732286
Fg_00IbfZ-c,13193,283,875,3493301,0.003776657093104774,0.00025047941760529655,8.101220020834162e-05,15.077714285714286,2.7062607093067923
bKWG6uGItUA,3597,189,204,716808,0.005018080155355409,0.00028459503800180803,0.00026366893226638095,17.63235294117647,5.663666262392583
ktwNU8braNg,9452,-1,2043,3239625,0.002917621638306903,0.0006306285449704827,-1,4.626529613313754,0.4784702470100263
2EoSvsaf0xs,188,65,62,32578,0.00577076554730186,0.001903124808152741,0.0019952114924181963,-2,1.4228304077413452
18LAV3BlPFk,276,22,19,46717,0.005907913607466233,0.0004067041976154291,0.0004709206498704968,-2,0.7062450634681537
nI8jRwLU220,376,116,47,127857,0.0029407854086987806,0.00036759817608734757,0.0009072635835347303,-2,1.0478536067434643
7iKL7dxzUrU,297,71,8,53832,0.005517164511814534,0.0001486104919007282,0.0013189181156189626,-2,5.734090127278982
7NQGmAdDldA,262,6,12,45079,0.0058120189001530645,0.0002661993389383083,0.00013309966946915415,-2,1641.9391602399314
QwvvNveiTjw,3427,186,184,1434431,0.0023891006259624896,0.00012827385911208,0.0001296681401893852,18.625,1.4781976744186047
Ll61SoHtTGg,158,16,10,45147,0.003499678826943097,0.00022149865993310741,0.00035439785589297184,-2,0.013806706114398421
IXZuay2nthc,15325,4353,1725,4111546,0.0037273084139153494,0.00041955021298557767,0.0010587258418123012,8.884057971014492,147.57849462365593
f0a5Qh2hdHo,22,3,3,31106,0.0007072590497010223,9.644441586832123e-05,9.644441586832123e-05,-2,2.265964600817732
jWOy7cKl0q8,25,2,0,7067,0.0035375689825951607,0.0,0.0002830055186076129,-2,2034.0917510230454
S5-R93lXAGE,3,0,0,143,0.02097902097902098,0.0,0.0,-2,0.4868335146898803
-MHBxiOQLoo,680,55,20,64376,0.01056294271156953,0.0003106747856343979,0.0008543556604945942,-2,0.10482211114378125
XlWmEAh4Qpk,17,3,0,1983,0.008572869389813415,0.0,0.0015128593040847202,-2,0.1853131431931785
L_Q-WKcba70,91,8,10,11858,0.007674144037780401,0.0008433125316242199,0.0006746500252993759,-2,0.4830203755493408
UOo_DNodHEI,318,29,58,146216,0.0021748645839032663,0.0003966734146741807,0.00019833670733709034,-2,0.30866540164452877
KnEFTP6Musc,11419,1151,1916,7959161,0.0014346989588475468,0.0002407288908969174,0.0001446132324751315,5.959812108559499,0.0709185329438494
bFMqSdgt7HE,9,0,1,7224,0.0012458471760797341,0.00013842746400885935,0.0,-2,2.247807332854062
uXK_iGTefrk,1903,157,22,107465,0.017708091006374167,0.00020471781510259155,0.0014609407714139488,86.5,0.4777138749101366
VZuRTNidtCM,5229,803,375,1837731,0.002845356583743758,0.00020405597990130221,0.00043695187162865514,13.944,1.3630653266331658
sie80U-K3Dk,111,31,8,20408,0.005439043512348099,0.0003920031360250882,0.0015190121520972167,-2,1.3630653266331658
KEVdwp_YPco,97,6,18,9840,0.009857723577235772,0.001829268292682927,0.0006097560975609756,-2,1.3630653266331658
msxD6VBnMrw,215,15,6,22992,0.009351078636047321,0.00026096033402922753,0.0006524008350730689,-2,44.82555635319454
xNAarUtW4o4,27,-1,12,4979,0.0054227756577626025,0.002410122514561157,-1,-2,6.106792268764099
OEM_ynAzg-s,3094,140,149,785649,0.00393814540590009,0.00018965212200359194,0.00017819662470136156,20.76510067114094,2736.45390070922
bDwXcOP8VBY,7385,286,227,659192,0.011203109261034721,0.0003443609752545541,0.00043386448864670687,32.53303964757709,3.096392030156166
