videoId,comments/views
qTcbmj9BzZ8,0.0
d7odXAOfxTk,0.0
QH2qtiasMDE,0.0
0pUm1Ke6FqE,0.0
rfVRVyxo8hQ,0.0
LUacBgCstYY,0.0
wHvHXqwvr_s,0.0
uH7lTCiJCpo,0.0
bnJUTEJylgU,0.0
Edls5YYR4cw,0.0
v0zSlVEAPbE,0.0
t7BbVQR3jqQ,0.0
Da4FR1dzpt0,0.0
atWVho72opo,0.0
7UTnXkNx81M,0.0
zZ_9GBxsr4Q,0.0
p0Wg6C0AEt8,0.0
-Y1z3W-8Jg8,0.0
XiUbeMuz_-A,0.0
NwQEHNJ6gkg,0.0
2LQPZCapjHs,0.0
Rb0QdmUa-s0,0.0
2Zhoef3GdMU,0.0
dRau-Dj3i0U,0.0
-p-KB_G0SCk,0.0
nWpEy_1oDF0,0.0
HRUAgPVj_xc,0.0
ky9SatRoyCY,0.0
0NiGayoNKnk,0.0
7FIqt_wB_4M,0.0
Q5LSM6wY2VA,0.0
xRNFPRZ3GCg,0.0
A_FR9CbIv8g,0.0
7Gasxo-TMkM,0.0
zjUcINVLZ_U,0.0
D9vsHdCCGuQ,0.0
CNefVOt2quA,0.0
qywFe60_oko,0.0
CjNs4IOoZO4,0.0
f0mRHgjd3_o,0.0
wfoUi2nsKWs,0.0
8s4kTm788pY,0.0
74jE8tX6PZk,0.0
JQDckU2xDkU,0.0
uZABN17FZ6w,0.0
BB7g8wSd6kk,0.0
TqAsQg-ts70,0.0
FzWOEaFArKk,0.0
uoHbIXAq-Hs,0.0
GygdLI6EEUc,0.0
5hqJrFvYpdE,0.0
ib3r6mPD3aY,0.0
sZKjENdfNIU,0.0
t3HzM0xU5P4,0.0
k1EerYqtp1c,0.0
MbYpyHlm-Yg,0.0
M7syCjAGK_w,0.0
VEd-fWQbiIE,0.0
0hq72EDHeKU,0.0
MuqshhMXR_E,0.0
wwXa9v0zztA,0.0
991kcSdUge8,0.0
cFsieoC9ll8,0.0
uZ11jKO7Cek,0.0
fXRLVoMYI-s,0.0
smpfb6jjcK8,0.0
VxWBvIdVs0s,0.0
cIP7_2GD3Vw,0.0
a6uCQ2MwnXM,0.0
ZXgc4xeq20o,0.0
e9VOMZVWOYI,0.0
ZAWDGVFnZaY,0.0
ilzENSn3L_s,0.0
WBtiGBxd1mo,-1
bZl8EGqXmgw,0.0
ao00Mt0UK-I,0.0
UyWEnGNV2iI,0.0
mLCdedZ-mB8,0.0
BZ0tmcR4974,0.0
IYTxT84uIY8,0.0
y4V_HhVPa5E,0.0
TfUuzvsNfGI,0.0
8qlJ4-is4d4,0.0
Ey2dZ2bao2w,0.0
ZtlAxPtQW8w,0.0
2B37T5N8y7I,0.0
gAG6cdUyJMw,0.0
gG7pLrEz9yw,0.0
Zv9a4Q0fch0,0.0
i_EYVKsurto,0.0
95dehdEa20M,0.0
Yr45cJlUCZU,0.0
e3HoTYBr_Xk,0.0
biK4Zn0paW4,0.0
IuPW9FCz_hw,0.0
6V6nRr9YTA4,0.0
rFsrdOHBcBU,0.0
ajGCmKP7oV8,0.0
YV-n3VoW5Sg,0.0
vpjRHmZzrz4,0.0
CCwTfu99hJQ,0.0
O2gxB-Sutwc,0.0
Pe1Xjk_bU_o,0.0
