videoId,channelId
rRSBpIZiid4,UCQjvvpSEzbkZZmodKmrEc9A
6mc7cU5mN80,UCYDNHmJxWW7C6QAPbBdllIQ
IKZ41mDtayc,UCr-gTfI7au9UaEjNCbnp_Nw
QGug_eltOnE,UCr-gTfI7au9UaEjNCbnp_Nw
NNqhURzgEOY,UCr-gTfI7au9UaEjNCbnp_Nw
I9p-FyeoHo0,UCr-gTfI7au9UaEjNCbnp_Nw
7Nn45WvKONM,UCr-gTfI7au9UaEjNCbnp_Nw
W21StuboNl8,UCr-gTfI7au9UaEjNCbnp_Nw
xjMk6UrkJ9g,UCr_pADpnsYU0vstpsKhroCA
EiBe_-FwYZ8,UCjMNKjDqCyedMEuKp7GgtyA
TQfGgJulCAc,UCtLeX1DWNjAO_h9goD0PBPg
AExTAC1d1zA,UCr-gTfI7au9UaEjNCbnp_Nw
GGmrutEnsnY,UCPST2CubwLkYVAuL_LzuUtg
tRLConvNTYg,UCyDcwmQrvASv125u2kdadYA
8uN4r87e618,UCjMNKjDqCyedMEuKp7GgtyA
679fwkCUfEE,UCr-gTfI7au9UaEjNCbnp_Nw
jpiF8AwkBTo,UCr-gTfI7au9UaEjNCbnp_Nw
np0-bHANnEg,UCr-gTfI7au9UaEjNCbnp_Nw
dyqmCzbemys,UC4DMQiCp1_etOifjEOXh5ew
Lqe6tajM9w8,UCvR2R7j218tzejtTsb_X6Rw
a70Y6VVvgrI,UC4tGtCC-K02gOhwJ7PXbmGw
6WAxPPRwMcA,UCr-gTfI7au9UaEjNCbnp_Nw
_pHImgDOWuY,UCaeicBEBBbaF4QQ_OgJ5cvw
eqKaPXvwb2E,UCA22tjXWoEH6OdVmuC7wPPg
okin5POLNaA,UCMHptqPdDtq0T7cnlwmH7aQ
Yy_A2L-Z0Hs,UCQ_SLrbcAnwI0IlnNHb9sLw
yBNd9etHb74,UCWrtsravWX0ANhHiJXNlyXw
QCp_buQwPHY,UCr-gTfI7au9UaEjNCbnp_Nw
QL1-vAVjDYk,UCvR2R7j218tzejtTsb_X6Rw
gNMnXQL0GDU,UCzsaQoeRJjnnaQrLWDZ071A
FKQAR8S7a-8,UCmHZ4DGtc3mgVRvQrDglOCQ
OnJJHosJVBM,UCPST2CubwLkYVAuL_LzuUtg
2ZTxgXa5_ZI,UC0DgREA-fXHtWCROklsoykA
ARn-f3se_Q8,UCzsaQoeRJjnnaQrLWDZ071A
7DGyFX0YHdU,UC7S2DT0pggsBoHycoLuMlWw
IhOFcMaLUFM,UCX_kA9MEDhD5y7OxvoKWQSQ
EPIBoE0sfyM,UC5xMKEGV9IHSk4h9K4TPulQ
8R-7JLYWWlM,UC7S2DT0pggsBoHycoLuMlWw
dT_cuB3w_Vc,UCvR2R7j218tzejtTsb_X6Rw
0sGQYeKu19Q,UC6bdn2tN7CPZCDLCXqfc15Q
zyG7EqG_5-A,UCChRbHayAqaFyC0V6MjI-VQ
wZywsWFpM0s,UC5Iui6527COyW9HvfwGNYSg
LHhYxKaYcdU,UCcve-pcP-wqQTduqmPfmhzA
Z-gylDndHOI,UCvR2R7j218tzejtTsb_X6Rw
lVIUzKiZfms,UCr-gTfI7au9UaEjNCbnp_Nw
ihB_XI9fvqU,UCr-gTfI7au9UaEjNCbnp_Nw
McSpmnIRA2M,UCHy6kyYZGMd7L8lkm9kreIg
9azxsHKau8k,UCSTn7OjnPG9x1M1ePv_ShBA
sYVkTWzmCWo,UCvR2R7j218tzejtTsb_X6Rw
yvoz3xUngrU,UCbAOQQdssoc8zmmCwKL13DA
GXYTOMriw50,UCsJnYFpzCABZEEK-yECnIGw
nxzMkpNxau4,UCr-gTfI7au9UaEjNCbnp_Nw
X610M7Wse6I,UCCRD5jmdgvEp64vyHiyWETQ
3w0YrNV0CfI,UCN92Oxtn24vePnBhf6AdGGA
mYIMXl7OIBw,UC17ndG9VXuKc19nknTD4q5A
SC_2Rd0rDG8,UC8i7aV2v0aTvV-AC3ujx6bw
dlOHKcqSyrA,UCvR2R7j218tzejtTsb_X6Rw
